timestamps,TP9,AF7,AF8,TP10,Right AUX
1671211472.132,-59.082,-16.602,-16.602,-28.809,56.152,0
1671211472.136,-92.773,-19.043,-17.578,-33.203,-35.156,0
1671211472.140,-60.059,-21.973,-20.020,-43.457,-98.145,0
1671211472.156,-0.977,-15.137,-14.160,-36.621,-45.898,0
1671211472.160,-1.465,-19.043,-16.602,-18.555,52.246,0
1671211472.164,-50.293,-27.344,-22.949,-19.531,87.402,0
1671211472.168,-82.520,-17.578,-17.578,-29.785,-77.637,0
1671211472.172,-54.199,-8.301,-13.184,-23.438,-65.918,0
1671211472.176,4.883,-9.766,-20.020,-9.766,322.266,0
1671211472.180,13.672,-6.348,-19.531,-15.137,251.465,0
1671211472.183,-30.273,-2.441,-22.461,-24.902,-59.082,0
1671211472.187,-65.918,-10.742,-25.879,-30.273,-49.316,0
1671211472.191,-42.480,-15.137,-20.996,-26.367,145.996,0
1671211472.195,8.789,-6.836,-14.160,-32.715,-20.020,0
1671211472.199,20.508,-10.742,-13.672,-23.926,-161.621,0
1671211472.200,-20.996,-16.113,-15.137,-10.254,-46.875,0
1671211472.204,-68.359,-9.277,-20.508,-25.879,-57.129,0
1671211472.208,-62.988,-12.695,-34.180,-51.758,-137.695,0
1671211472.212,-6.348,-15.137,-31.738,-48.340,-109.375,0
1671211472.216,23.926,-12.207,-20.996,-25.879,17.578,0
1671211472.220,-15.625,-14.160,-26.855,-27.832,47.363,0
1671211472.224,-73.242,-18.066,-27.344,-40.039,3.906,0
1671211472.227,-70.312,-18.066,-16.602,-39.551,-83.984,0
1671211472.231,-9.766,-15.137,-18.066,-27.344,127.441,0
1671211472.235,17.578,-17.090,-20.508,-13.184,336.914,0
1671211472.239,-16.602,-14.648,-24.902,-20.020,30.762,0
1671211472.243,-65.430,-17.090,-28.320,-38.574,-62.988,0
1671211472.245,-73.242,-14.648,-24.902,-41.504,-46.875,0
1671211472.249,-20.996,-12.695,-22.461,-32.227,-118.652,0
1671211472.253,18.066,-13.184,-23.438,-21.973,-58.105,0
1671211472.257,-4.883,-13.184,-13.184,-15.625,25.879,0
1671211472.261,-49.316,-16.113,-15.137,-9.766,112.305,0
1671211472.265,-68.848,-21.484,-24.414,-29.785,10.742,0
1671211472.269,-36.133,-22.461,-19.043,-42.480,-82.520,0
1671211472.272,13.672,-16.113,-11.230,-26.855,0.977,0
1671211472.276,3.418,-18.066,-12.695,-9.277,195.801,0
1671211472.280,-51.758,-19.531,-12.695,-16.602,38.574,0
1671211472.284,-65.918,-12.207,-6.348,-27.344,-153.320,0
1671211472.288,-25.879,-8.789,-6.348,-24.902,-14.648,0
1671211472.291,9.766,-14.160,-17.578,-20.996,2.441,0
1671211472.295,-1.465,-17.578,-22.949,-19.043,-82.520,0
1671211472.299,-41.016,-12.207,-17.578,-10.742,-67.383,0
1671211472.303,-71.777,-9.766,-20.996,-16.113,2.441,0
1671211472.307,-47.363,-12.207,-28.320,-34.180,-36.621,0
1671211472.311,12.207,-7.324,-22.461,-23.926,-70.801,0
1671211472.315,5.371,-14.648,-20.996,-19.043,-0.977,0
1671211472.318,-45.898,-23.438,-16.113,-20.996,175.293,0
1671211472.322,-72.266,-16.113,-15.625,-19.043,150.391,0
1671211472.326,-50.293,-17.578,-19.043,-29.785,-67.871,0
1671211472.330,-2.441,-23.438,-20.996,-22.461,-19.043,0
1671211472.334,4.395,-17.090,-25.879,-9.277,-35.645,0
