timestamps,TP9,AF7,AF8,TP10,Right AUX
1671211770.296,-63.965,-19.531,-5.859,-14.160,-1.953,0
1671211770.300,-43.457,-20.508,-18.066,-15.625,-100.098,0
1671211770.304,-40.527,-21.973,-22.461,-18.066,-147.949,0
1671211770.308,-59.082,-19.531,-13.184,-13.672,-32.715,0
1671211770.312,-73.730,-28.320,-18.555,-13.672,16.602,0
1671211770.316,-57.129,-26.367,-25.879,-22.461,-2.930,0
1671211770.320,-29.785,-24.414,-22.461,-18.555,26.367,0
1671211770.323,-25.879,-25.391,-20.020,-11.719,173.340,0
1671211770.327,-38.574,-18.066,-15.625,3.906,390.625,0
1671211770.331,-67.871,-24.414,-15.625,0.977,201.660,0
1671211770.335,-71.777,-28.809,-18.066,-20.020,-46.875,0
1671211770.339,-42.969,-20.020,-19.531,-18.555,36.621,0
1671211770.341,-32.227,-17.578,-22.949,-15.137,62.500,0
1671211770.345,-49.805,-19.531,-28.320,-16.113,-8.789,0
1671211770.349,-68.359,-21.973,-26.367,-18.066,28.320,0
1671211770.353,-56.641,-24.902,-12.695,-18.555,-14.160,0
1671211770.357,-29.785,-23.926,-21.973,-11.230,-86.914,0
1671211770.361,-19.043,-27.832,-29.785,-10.254,-67.383,0
1671211770.365,-28.320,-26.855,-20.020,-10.254,41.016,0
1671211770.368,-41.016,-20.508,-12.207,5.371,242.188,0
1671211770.372,-42.480,-22.461,-20.020,-3.906,148.438,0
1671211770.376,-26.367,-20.508,-20.020,-19.043,-60.547,0
1671211770.380,-9.277,-20.508,-13.672,-15.137,26.855,0
1671211770.384,-14.648,-28.809,-20.020,-6.348,67.871,0
1671211770.386,-38.574,-25.391,-13.184,3.906,44.922,0
1671211770.390,-50.781,-29.297,-8.789,-9.766,-51.270,0
1671211770.394,-27.832,-28.809,-9.766,-19.043,-34.180,0
1671211770.398,-3.906,-21.973,-8.301,-14.160,68.359,0
1671211770.402,-17.090,-22.949,-8.301,-16.602,45.410,0
1671211770.406,-44.434,-22.949,-4.883,-16.113,45.898,0
1671211770.410,-49.805,-22.949,-11.230,-21.973,208.496,0
1671211770.413,-28.320,-22.949,-16.113,-20.020,451.172,0
1671211770.417,-7.324,-20.996,-17.090,-27.832,208.008,0
1671211770.421,-11.719,-22.461,-20.020,-38.086,16.602,0
1671211770.425,-32.715,-22.949,-16.113,-24.902,147.461,0
1671211770.429,-50.781,-21.484,-7.812,-16.113,104.004,0
1671211770.431,-43.457,-20.508,-6.348,-23.438,-39.062,0
1671211770.435,-12.207,-18.066,-10.254,-24.902,-20.508,0
1671211770.439,-14.648,-19.531,-11.719,-22.949,42.969,0
1671211770.443,-44.434,-22.461,-10.742,-23.438,118.164,0
1671211770.447,-54.199,-21.973,-13.184,-28.809,136.719,0
1671211770.451,-42.969,-25.391,-15.137,-34.180,77.148,0
1671211770.455,-18.066,-24.414,-13.184,-22.461,359.863,0
1671211770.458,-10.742,-16.113,-10.254,-15.137,483.398,0
1671211770.462,-27.832,-14.648,-11.719,-18.555,100.586,0
1671211770.466,-37.598,-15.137,-8.789,-16.602,16.113,0
1671211770.470,-17.090,-16.602,-6.348,-28.320,74.707,0
1671211770.474,21.973,-13.672,-13.672,-30.273,23.926,0
1671211770.475,36.621,-12.207,-17.578,-18.555,-20.020,0
1671211770.479,14.648,-14.648,-20.020,-12.207,87.402,0
1671211770.483,-1.953,-16.602,-20.508,-13.672,136.719,0
1671211770.487,14.160,-18.555,-18.066,-26.367,17.578,0
1671211770.491,37.109,-23.438,-18.555,-36.133,-50.293,0
1671211770.495,55.664,-23.926,-14.160,-24.902,127.441,0
1671211770.499,46.875,-20.508,-9.766,-17.578,317.383,0
1671211770.502,19.531,-21.484,-9.277,-29.297,127.930,0
1671211770.506,21.484,-26.367,-17.090,-40.039,-38.574,0
1671211770.510,55.664,-29.297,-16.602,-41.016,77.148,0
1671211770.514,78.613,-22.949,-11.230,-29.785,370.605,0
1671211770.518,61.523,-19.531,-15.137,-33.203,162.598,0
1671211770.536,38.086,-15.625,-19.043,-37.598,-127.441,0
1671211770.540,35.645,-11.230,-20.020,-31.738,-76.172,0
1671211770.544,51.270,-18.066,-19.531,-31.250,-88.379,0
1671211770.548,61.035,-23.438,-24.414,-29.297,-101.074,0
1671211770.552,41.504,-21.973,-23.438,-30.762,-59.570,0
1671211770.556,1.465,-25.391,-19.043,-31.738,42.969,0
1671211770.560,-16.113,-26.367,-23.438,-35.156,30.273,0
1671211770.563,0.977,-19.043,-18.066,-36.133,-88.867,0
1671211770.567,18.066,-13.672,-20.996,-33.691,-147.949,0
1671211770.571,3.418,-13.672,-30.273,-30.762,-49.316,0
1671211770.575,-33.691,-16.113,-26.367,-26.367,-25.879,0
1671211770.579,-54.199,-20.020,-24.414,-33.691,-127.930,0
1671211770.580,-41.992,-20.996,-27.344,-40.039,-66.406,0
1671211770.584,-24.414,-16.113,-25.879,-32.715,71.777,0
1671211770.588,-33.203,-11.230,-20.996,-26.855,15.625,0
1671211770.592,-60.547,-14.160,-20.020,-33.691,-76.660,0
1671211770.596,-75.684,-13.184,-28.809,-41.016,28.809,0
1671211770.600,-68.359,-13.184,-29.785,-39.062,110.840,0
1671211770.604,-50.293,-13.184,-23.438,-28.320,52.734,0
1671211770.607,-52.246,-10.254,-26.367,-22.461,-6.836,0
1671211770.611,-77.148,-7.324,-25.391,-20.508,103.027,0
1671211770.615,-88.379,-5.859,-20.508,-8.789,392.578,0
1671211770.619,-77.148,-4.883,-17.578,-17.090,201.660,0
1671211770.623,-62.988,-7.812,-23.438,-26.855,-148.438,0
1671211770.626,-59.570,-11.719,-29.785,-21.973,-13.672,0
1671211770.630,-86.426,-10.742,-24.414,-18.555,105.957,0
1671211770.634,-117.188,-8.789,-28.809,-23.438,-43.945,0
1671211770.638,-104.004,-17.090,-39.551,-36.133,-188.477,0
1671211770.642,-72.266,-23.926,-34.180,-30.762,-57.617,0
1671211770.646,-69.824,-18.555,-32.227,-24.414,58.594,0
1671211770.650,-95.215,-17.578,-30.273,-20.996,3.906,0
1671211770.653,-111.816,-15.137,-26.367,-28.809,-41.992,0
1671211770.657,-103.027,-13.672,-35.156,-31.738,87.402,0
1671211770.661,-73.730,-14.160,-28.809,-27.344,125.488,0
1671211770.665,-56.152,-10.742,-23.926,-30.273,-75.684,0
1671211770.669,-74.707,-12.695,-34.180,-24.902,-67.871,0
1671211770.671,-91.309,-11.230,-30.762,-22.949,-17.090,0
1671211770.675,-87.402,-16.113,-21.973,-20.508,-54.688,0
1671211770.679,-69.824,-21.484,-27.344,-18.555,-82.520,0
1671211770.683,-52.734,-20.508,-32.715,-15.137,91.797,0
1671211770.687,-65.430,-21.484,-23.926,-11.719,231.445,0
1671211770.691,-85.938,-21.484,-26.855,-20.020,160.156,0
1671211770.695,-78.125,-20.020,-29.297,-22.949,115.234,0
1671211770.698,-52.246,-18.555,-18.555,-16.602,173.340,0
1671211770.702,-29.785,-20.996,-17.090,-5.859,499.512,0
1671211770.706,-34.668,-22.461,-23.438,-8.301,399.414,0
1671211770.710,-49.805,-18.066,-24.902,-15.625,42.969,0
1671211770.714,-41.992,-18.555,-36.621,-21.484,20.020,0
1671211770.716,-18.066,-19.531,-41.992,-35.156,27.344,0
1671211770.720,6.348,-12.207,-28.809,-31.738,-44.434,0
1671211770.724,-2.930,-18.066,-28.809,-30.273,-83.496,0
1671211770.728,-33.691,-19.043,-29.297,-32.715,1.465,0
1671211770.732,-41.016,-21.973,-20.996,-26.855,10.742,0
1671211770.736,-20.508,-25.879,-16.602,-20.508,55.664,0
1671211770.740,4.883,-14.648,-11.719,-19.531,61.035,0
1671211770.743,5.859,-16.602,-13.672,-9.766,301.270,0
1671211770.747,-29.785,-23.438,-26.367,-17.578,390.625,0
1671211770.751,-46.875,-23.926,-31.250,-35.645,-54.688,0
1671211770.755,-26.367,-21.484,-25.391,-29.785,-154.297,0
1671211770.759,6.348,-14.160,-17.578,-20.508,-81.055,0
1671211770.760,14.648,-9.766,-16.602,-17.090,-95.703,0
1671211770.764,-12.695,-14.160,-17.090,-17.578,-70.312,0
1671211770.768,-29.785,-14.648,-16.602,-17.090,-12.695,0
1671211770.772,-17.578,-13.184,-23.926,-20.508,10.254,0
1671211770.776,10.254,-19.043,-20.996,-23.438,-37.109,0
1671211770.780,19.043,-13.672,-5.859,-23.438,-28.809,0
1671211770.784,7.812,-4.883,-7.324,-13.672,138.672,0
1671211770.787,-9.277,-8.301,-20.020,-0.488,325.684,0
1671211770.791,-5.859,-12.207,-18.066,-14.160,70.801,0
1671211770.795,22.949,-8.789,-13.184,-19.043,-218.262,0
1671211770.799,31.738,-8.301,-12.695,-3.418,-14.160,0
1671211770.803,8.789,-13.184,-13.184,-8.789,68.848,0
1671211770.805,-10.254,-16.602,-16.113,-23.438,-158.203,0
1671211770.809,-6.836,-23.438,-18.555,-28.809,-220.703,0
1671211770.813,15.625,-16.602,-17.578,-29.785,-152.832,0
1671211770.817,33.203,-9.277,-15.625,-29.297,-157.715,0
1671211770.821,18.555,-11.719,-13.672,-31.738,-208.008,0
